city,aqi,dominant_pollutant,time,pm25,pm10,o3,no2,co,so2,year,month,day,weekday,hour,aqi_category,pm25_norm,pm10_norm,o3_norm,no2_norm,co_norm,so2_norm
"Arenula, Roma, Lazio, Italy",35,pm25,2025-07-04,23.43,9.29,12.23,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.5150694209278699,0.11479413817166781,0.4787472035794183,0,0,0
"Arenula, Roma, Lazio, Italy",35,pm25,2025-07-06,30.42,10.11,8.45,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Good,0.7517778530308162,0.12909979064898813,0.2673378076062639,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",51,pm25,2025-07-02,12.81,6.11,11.62,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Moderate,0.15543515069420927,0.05931612002791348,0.44463087248322136,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",47,pm25,2025-07-04,23.71,9.28,12.81,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.5245513037588893,0.11461967899511513,0.5111856823266219,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",52,pm25,2025-07-06,27.34,11.57,12.09,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Moderate,0.6474771418896037,0.15457083042568037,0.47091722595078295,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",51,pm25,2025-07-08,12.24,5.49,14.12,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Moderate,0.13613274635963424,0.048499651081646895,0.5844519015659954,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",49,pm25,2025-07-10,8.26,2.71,6.87,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Good,0.0013545546901455856,0.0,0.17897091722595077,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",48,pm25,2025-07-12,10.98,3.76,3.67,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Good,0.0934642736200474,0.018318213538032098,0.0,0,0,0
Amsterdam,20,pm25,2025-07-08,19.49,10.46,6.4,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Good,0.38164578394852683,0.1352058618283322,0.15268456375838926,0,0,0
Amsterdam,21,pm25,2025-07-10,20.82,13.32,3.93,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Good,0.4266847273958686,0.18510118632240055,0.014541387024608513,0,0,0
Amsterdam,21,pm25,2025-07-12,19.75,10.58,8.42,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Good,0.39045038943447335,0.1372993719469644,0.26565995525727065,0,0,0
Amsterdam,20,pm25,2025-07-14,21.35,11.67,9.81,-1.0,-1.0,-1.0,2025,7,14,Monday,0,Good,0.444632577040298,0.15631542219120728,0.34340044742729303,0,0,0
Amsterdam,21,pm25,2025-07-16,23.89,12.5,10.54,-1.0,-1.0,-1.0,2025,7,16,Wednesday,0,Good,0.5306467998645445,0.17079553384508023,0.384228187919463,0,0,0
Amsterdam,21,pm25,2025-07-18,10.13,3.63,12.42,-1.0,-1.0,-1.0,2025,7,18,Friday,0,Good,0.0646799864544531,0.01605024424284717,0.4893736017897091,0,0,0
Paris,43,pm25,2025-05-30,20.75,9.26,8.7,-1.0,-1.0,-1.0,2025,5,30,Friday,0,Good,0.42431425668811373,0.11427076064200976,0.2813199105145413,0,0,0
Paris,43,pm25,2025-06-01,18.43,8.8,6.94,-1.0,-1.0,-1.0,2025,6,1,Sunday,0,Good,0.3457500846596681,0.10624563852058619,0.18288590604026844,0,0,0
Paris,44,pm25,2025-06-03,17.38,9.12,11.78,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Good,0.3101930240433457,0.11182833217027215,0.4535794183445189,0,0,0
Paris,47,pm25,2025-06-05,17.98,10.9,13.85,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Good,0.3305113443955299,0.1428820655966504,0.5693512304250559,0,0,0
Paris,46,pm25,2025-06-07,22.68,10.89,10.06,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Good,0.4896715204876396,0.1427076064200977,0.3573825503355704,0,0,0
Paris,45,pm25,2025-06-09,9.9,5.57,14.05,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Good,0.0568912969861158,0.049895324494068395,0.5805369127516778,0,0,0
London,59,pm25,2025-06-03,12.12,6.58,13.97,-1.0,-1.0,-1.0,2025,6,3,Tuesday,0,Moderate,0.13206908228919736,0.06751570132588974,0.576062639821029,0,0,0
London,62,pm25,2025-06-05,17.11,8.52,8.92,-1.0,-1.0,-1.0,2025,6,5,Thursday,0,Moderate,0.3010497798848628,0.10136078157711095,0.29362416107382544,0,0,0
London,60,pm25,2025-06-07,12.02,6.43,8.01,-1.0,-1.0,-1.0,2025,6,7,Saturday,0,Moderate,0.12868269556383335,0.06489881367759943,0.2427293064876957,0,0,0
London,58,pm25,2025-06-09,9.96,6.01,7.73,-1.0,-1.0,-1.0,2025,6,9,Monday,0,Moderate,0.058923129021334245,0.057571528262386595,0.22706935123042504,0,0,0
London,58,pm25,2025-06-11,14.32,8.05,13.92,-1.0,-1.0,-1.0,2025,6,11,Wednesday,0,Moderate,0.2065695902472062,0.0931612002791347,0.5732662192393735,0,0,0
London,62,pm25,2025-06-13,14.85,8.32,11.24,-1.0,-1.0,-1.0,2025,6,13,Friday,0,Moderate,0.22451743989163558,0.09787159804605723,0.4233780760626398,0,0,0
London,60,pm25,2025-06-15,12.66,5.76,12.8,-1.0,-1.0,-1.0,2025,6,15,Sunday,0,Moderate,0.1503555706061632,0.05321004884856943,0.5106263982102908,0,0,0
London,59,pm25,2025-06-17,9.44,4.5,12.39,-1.0,-1.0,-1.0,2025,6,17,Tuesday,0,Moderate,0.041313918049441206,0.031228192602930915,0.48769574944071586,0,0,0
"Berlin, Germany",59,pm25,2025-06-12,13.28,5.75,12.73,-1.0,-1.0,-1.0,2025,6,12,Thursday,0,Moderate,0.1713511683034202,0.05303558967201675,0.5067114093959731,0,0,0
"Berlin, Germany",60,pm25,2025-06-14,18.8,8.23,10.15,-1.0,-1.0,-1.0,2025,6,14,Saturday,0,Moderate,0.35827971554351506,0.09630146545708305,0.3624161073825503,0,0,0
"Berlin, Germany",63,pm25,2025-06-16,18.17,9.59,7.28,-1.0,-1.0,-1.0,2025,6,16,Monday,0,Moderate,0.33694547917372164,0.12002791346824843,0.20190156599552572,0,0,0
"Berlin, Germany",62,pm25,2025-06-18,13.75,5.47,7.25,-1.0,-1.0,-1.0,2025,6,18,Wednesday,0,Moderate,0.1872671859126312,0.04815073272854152,0.2002237136465324,0,0,0
"Berlin, Germany",61,pm25,2025-06-20,20.83,9.98,6.97,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.4270233660684049,0.12683182135380322,0.1845637583892617,0,0,0
"Berlin, Germany",60,pm25,2025-06-22,27.44,10.99,13.95,-1.0,-1.0,-1.0,2025,6,22,Sunday,0,Moderate,0.6508635286149678,0.14445219818562458,0.5749440715883668,0,0,0
"Berlin, Germany",59,pm25,2025-06-24,34.69,11.96,19.91,-1.0,-1.0,-1.0,2025,6,24,Tuesday,0,Moderate,0.8963765662038604,0.16137473831123517,0.9082774049217002,0,0,0
Madrid,92,pm25,2025-06-20,32.61,26.1,12.63,-1.0,-1.0,-1.0,2025,6,20,Friday,0,Moderate,0.8259397223162885,0.40806001395673414,0.5011185682326622,0,0,0
